"section","subsection","element","Value"
"Overview","Authorship","Study title","Title: From the last glacial maximum to the end of the 21th century: the journey of a montane tree species"
"Overview","Authorship","Author names","Thibaut Capblancq; Susanne Lachmuth; Matthew Fitzpatrick; Stephen Keller"
"Overview","Authorship","Contact ","susanne.lachmuth@umces.edu"
"Overview","Authorship","Study link","Publication in prep."
"Overview","Model objective","Model objective","Forecast and transfer"
"Overview","Model objective","Target output","Continuous climate suitability index"
"Overview","Focal Taxon","Focal Taxon","Picea rubens Sarg."
"Overview","Location","Location","Eastern North America (United States and Canada)"
"Overview","Scale of Analysis","Spatial extent","-100, -48, 20, 60 (xmin, xmax, ymin, ymax)"
"Overview","Scale of Analysis","Spatial resolution","0.5°"
"Overview","Scale of Analysis","Temporal extent","Occurrence data extend from 1877 to present, climate data extend from 20 ka BP to 2090 CE."
"Overview","Scale of Analysis","Temporal resolution","We used 200‐year averages of paleoclimate centered on five target time slices (1, 5, 10, 15 and 20 k a BP), 150-year averages (1850 to 1990 CE) of contemporary climate as well as 20-year averages (2081-2100 CE) of future climate."
"Overview","Scale of Analysis","Boundary","natural; rectangle"
"Overview","Biodiversity data","Observation type","field survey; standardised monitoring data; citizen science"
"Overview","Biodiversity data","Response data type","presence/absence"
"Overview","Predictors","Predictor types","climatic"
"Overview","Hypotheses","Hypotheses","The geographic distribution of tree species in temperate climate zones is determined by growing season temperatures, climatic water balance, and seasonality (Metzger et al. 2013). Accordingly, we chose six ecologically meaningful predictor variables that contemporarily show considerable variation and low collinearity across the study region and have a high potential for delineating the range limits of Picea rubens. 

Reference: Metzger, M.J., Bunce, R.G.H., Jongman, R.H.G., Sayre, R., Trabucco, A. & Zomer, R. (2013). A high-resolution bioclimate map of the world: a unifying framework for global biodiversity research and monitoring. Global Ecology and Biogeography, 22, 630–638."
"Overview","Assumptions","Model assumptions","-	Red spruce distribution is in pseudo-equilibrium with the environment
-	Occurrence data are free from observational bias
-	Each occurrence record represents an independent observation
-	Key predictors are incorporated in the model
-	Predictors are estimated without error 
-	No spatial auto-correlation of residuals
-	Red spruce retains its niche across space and time 
-	Relationships fitted under current conditions apply when transferring predictions, even when projected beyond the range of the training data; no change in correlation structure of environmental variables; no change in key limiting processes"
"Overview","Algorithms","Modelling techniques","glm; gam; mars; brt; randomForest; fda; maxent"
